Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єресько,Василина,Миколаївна,Жіноча,2005-03-31,Мистецтвознавець,село Заліщики,"площа Академічна, буд. 36, Чистякове, 52710",+380 (93) 507-24-79,iarema23@example.org
Ніколюк,Юстим,Юрійович,Чоловіча,1954-09-09,Мікробіолог,село Вугледар,"сквер Штильова, буд. 14, Зборів, 24696",+380 (07) 624-24-91,boryslavkozak@example.com
Конопленко,Кирило,Олександрович,Чоловіча,1981-04-05,Кушнір,селище Хуст,"узвіз В'ячеслава Липинського, буд. 384 кв. 4, Борислав, 01862",+380 (63) 575-05-31,kskoryk@example.com
Нестайко,Вікторія,Олександрівна,Жіноча,1972-09-19,Астрофізик,хутір Євпаторія,"набережна Стовпова, буд. 17, Бібрка, 69842",056 554 88 97,varfolomiiderehus@example.org
Заїка,Олександр,Миколайович,Чоловіча,1953-07-13,Ґрунтознавець,місто Ірміно,"парк Скляний 3-й, буд. 0, Камінь-Каширський, 70438",+380 24 180 10 32,viktoriiaandreiko@example.com
Канівець,Ярина,Юріївна,Жіноча,1961-09-06,Редактор,село Хмільник,"набережна Планетна, буд. 750 кв. 97, Нікополь, 05748",794 26 93,havryshvioletta@example.org
Олійник,Тетяна,Григорівна,Жіноча,1950-02-25,Економіст,хутір Скадовськ,"площа Ярморочна площа, буд. 774, Мостиська, 53462",+380 (97) 177-24-69,shynkarenkoherman@example.com
Гук,Аарон,Романович,Чоловіча,1984-03-18,Льотчик,селище Сколе,"набережна 4-та Лінія Марії Демченко, буд. 540, Монастириська, 33151",003 699 93 30,alinanalyvaiko@example.org
Лемешко,Франц,Богданович,Чоловіча,2010-03-28,Журналіст,хутір Заставна,"узвіз Професора Каришковського, буд. 888, Здолбунів, 51702",+380 15 327-91-39,mykhailo87@example.com
Гайдай,Миколай,Степанович,Чоловіча,1949-03-07,Випробувач,селище Глобине,"проспект Сашка Хорошенка, буд. 1, Городище, 02965",494 63 89,zhaivoronmartyn@example.net
Червоненко,Трохим,Олексійович,Чоловіча,1958-08-07,Геолог,село Монастирище,"набережна Сирітський 2-й, буд. 548 кв. 9, Гребінка, 53685",+380 (05) 991-96-50,tsych@example.org
Пелех,Анжела,Юріївна,Жіноча,1982-08-09,Зоолог,хутір Сторожинець,"сквер Лінія 38-ма, буд. 247 кв. 117, Алушта, 01048",+380 (47) 089-40-59,zasiadkomakar@example.com
Аверченко,Єлисавета,Михайлівна,Жіноча,1988-06-07,Композитор,селище Прилуки,"шосе 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 2, Сорокине, 51355",083 235-47-12,qvlasiuk@example.net
Атаманюк,Демʼян,Миколайович,Чоловіча,1997-05-22,Геофізик,місто Дергачі,"вулиця Шефська, буд. 0 кв. 61, Бережани, 43459",528 05 49,vladyslavzinkevych@example.com
Талан,Лукʼян,Іванович,Чоловіча,2006-04-16,Намотувальник,село Тернопіль,"парк Довженка, буд. 0 кв. 914, Бібрка, 36532",+380 65 686-03-79,agereta@example.org
Шеремета,Микита,Петрович,Чоловіча,1949-10-31,Бібліограф,місто Бердянськ,"провулок Юхима Геллера, буд. 8 кв. 07, Миколаїв, 51991",052 353 19 03,panasshvachko@example.org
Мамчур,Олександр,Миколайович,Чоловіча,1950-03-15,Пілот,хутір Жашків,"шосе Єврейська, буд. 1 кв. 341, Харцизьк, 31071",+380 30 619-47-25,amvrosiilutsenko@example.net
Вдовенко,Сніжана,Олексіївна,Жіноча,1966-08-21,Хімік,місто Стрий,"парк Евлії Челебі, буд. 479 кв. 08, Радивилів, 32999",027 402-55-03,oleksandr00@example.com
Затовканюк,Леопольд,Степанович,Чоловіча,1958-07-12,Літературознавець,селище Дубровиця,"проспект Севастопольський, буд. 111 кв. 5, Вуглегірськ, 84865",087 643 03 80,venhrynovychsofiia@example.org
Мамчур,Алевтин,Іванович,Чоловіча,1955-12-14,Прокурор,місто Вільногірськ,"парк Юрія Олеші, буд. 23 кв. 0, Кіцмань, 92708",+380 37 167 10 88,sofiiaprotsenko@example.org
Христенко,Гліб,Олександрович,Чоловіча,2002-10-31,Пекар,хутір Бориспіль,"набережна Пересипська 5-та, буд. 5, Феодосія, 71084",+380 20 418-76-54,iakymenkoieva@example.com
Сагаль,Сніжана,Петрівна,Жіноча,1973-01-05,Кінолог,село Кам'янка (Черкаська область),"парк Кредитний, буд. 915 кв. 6, Комарно, 67697",+380 49 508 27 88,vdovychenkodanylo@example.net
Примаченко,Гліб,Вікторович,Чоловіча,1981-11-09,Бухгалтер,місто Узин,"парк Глухівський, буд. 68, Березне, 39351",019 301-53-33,baranleontii@example.net
Хомик,Омелян,Вікторович,Чоловіча,1977-07-02,Економіст,селище Почаїв,"шосе Соляний 4-й, буд. 30, Сміла, 66213",+380 36 598 45 63,oles48@example.com
Копитко,Тимофій,Володимирович,Чоловіча,1995-05-04,Складальник,хутір Бершадь,"шосе Хаджибейський 1-й, буд. 12 кв. 0, Сокаль, 36900",559 55 60,edytaishchak@example.com
Артюшенко,Тетяна,Дмитрівна,Жіноча,1992-01-15,Журналіст,село Суми,"вулиця Бутишів, буд. 4 кв. 005, Марганець, 75745",096 409 69 38,viurchuk@example.net
Хмара,Максим,Андрійович,Чоловіча,2003-04-11,Продюсер,село Мелітополь,"площа Красива, буд. 83, Буча, 10942",+380 78 258-55-06,wtverdokhlib@example.net
Левченко,Нестор,Сергійович,Чоловіча,2006-02-15,Астроном,село Борзна,"провулок Бродська, буд. 5, Добромиль, 46484",942 66 79,arseniurchyshyna@example.org
Козаченко,Галина,Сергіївна,Жіноча,1987-11-15,Архітектор,селище Знам'янка,"узвіз Сергія Шелухина, буд. 1, Благовіщенське, 18408",081 845 56 75,vakulenkorostyslav@example.com
Артеменко,Святослава,Юріївна,Жіноча,1974-09-21,Фотограф,селище Кривий Ріг,"сквер Хотинський, буд. 32, Володимир-Волинський, 48922",069 704 40 33,khomatryhub@example.org
Щербак,Зиновій,Богданович,Чоловіча,1957-09-08,Краєзнавець,селище Нововолинськ,"сквер Травневий 2-й, буд. 096 кв. 2, Дергачі, 01952",067 553-48-29,pavlykmariia@example.com
Арсенич,Тереза,Михайлівна,Жіноча,2007-09-15,Штукатур,місто Каховка,"вулиця Старопортофранківська, буд. 1 кв. 346, Новоукраїнка, 39047",+380 (74) 024-46-03,priskaveres@example.net
Габелко,Аврелій,Олексійович,Чоловіча,1982-07-24,Головний меркшейдер,село Мелітополь,"узвіз Проїзний 1-й, буд. 537 кв. 848, Самар, 90118",+380 (09) 244-00-25,bholyk@example.org
Бабенко,Нестор,Миколайович,Чоловіча,1983-08-05,Футболіст,селище Верхньодніпровськ,"шосе Юрія Єгорова, буд. 19 кв. 3, Калинівка, 15067",612-63-87,ierchenkoliliia@example.org
Ємець,Ярема,Анатолійович,Чоловіча,1952-07-28,Правник,селище Сторожинець,"провулок Стрийський, буд. 349, Дубляни, 64597",+380 21 077-66-69,kbandera@example.com
Чорновіл,Аркадій,Богданович,Чоловіча,2011-08-01,Ріелтор,місто Черкаси,"вулиця Зої Бутенко, буд. 416 кв. 02, Берислав, 98779",834 40 06,olenabezborodko@example.com
Зайченко,Лілія,Анатоліївна,Жіноча,1973-11-08,Економіст,місто Буча,"площа Аграрна, буд. 33 кв. 05, Сквира, 09939",+380 18 960-31-67,bvdovenko@example.org
Оробець,Франц,Миколайович,Чоловіча,2003-07-18,Електротехнік,хутір Носівка,"вулиця Монастирський, буд. 5 кв. 07, Долина, 17282",013 725-94-82,vlukash@example.net
Швачко,Юхим,Степанович,Чоловіча,1986-05-21,Етнограф,селище Боярка,"площа Юхима Фесенка, буд. 054, Буча, 85939",+380 62 751-37-34,volodymyra15@example.org
Юрчишин,Амалія,Григорівна,Жіноча,1950-10-11,Електрик,хутір Іршава,"сквер Черешнева, буд. 15, Бровари, 02612",055 326 29 31,rivanchenko@example.net
Яковенко,Леонтій,Богданович,Чоловіча,1975-12-16,Хореограф,селище Чернівці,"узвіз Університетський, буд. 712, Нова Каховка, 14113",+380 47 941-79-59,okseniiachubai@example.com
Шаблій,Ігор,Вікторович,Чоловіча,2007-03-23,Музичний редактор,село Хмельницький,"узвіз Митракова, буд. 7, Яготин, 93695",461-57-48,ivanalekseienko@example.net
Панчук,Аврелій,Григорович,Чоловіча,1958-01-21,Фізик,місто Болехів,"узвіз Краснослобідська, буд. 16, Малин, 89061",055-38-33,gkalenychenko@example.net
Ейбоженко,Володимир,Іванович,Чоловіча,1966-01-15,Ботанік,селище Залізне,"проспект Теофіла Фраєрмана, буд. 4, Ржищів, 11963",+380 67 431-11-83,wsych@example.org
Венгринович,Михайло,Анатолійович,Чоловіча,1964-01-27,Мовознавець,місто Дружківка,"шосе Спиридонівська, буд. 0 кв. 81, Бровари, 89417",049 81 96,wgereta@example.net
Литвиненко,Христина,Тарасівна,Жіноча,1983-03-28,Палеонтолог,хутір Красногорівка,"парк 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 730 кв. 854, Городище, 95994",+380 58 030-64-27,azhuk@example.net
Ґалаґан,Артем,Олександрович,Чоловіча,1946-12-28,Кінорежисер,село Світловодськ,"проспект Кредитний, буд. 3, Здолбунів, 42257",065 690-34-82,zdurdynets@example.net
Давимука,Леонтій,Григорович,Чоловіча,1957-11-29,Археолог,селище Липовець,"сквер Молокова, буд. 933 кв. 42, Новогродівка, 86922",+380 53 107-54-70,oksanakhudiak@example.net
Пилипенко,Петро,Олександрович,Чоловіча,1990-08-12,Бібліограф,хутір Турка,"парк Малинова, буд. 814, Саки, 70431",866 62 51,herman44@example.net
Девдюк,Емілія,Дмитрівна,Жіноча,1987-01-18,Кур'єр,село Кролевець,"проспект Селищна, буд. 9, Рава-Руська, 22813",+380 83 040 82 84,opanas73@example.org
Ващенко,Артем,Григорович,Чоловіча,1975-03-09,Реабілітолог,селище Берислав,"площа Венгера, буд. 52, Вугледар, 64138",019 840-27-00,fasaula@example.com
Приймак,Зорян,Григорович,Чоловіча,1995-10-01,Математик,село Благовіщенське,"набережна Ольги Благовидової, буд. 84, Перевальськ, 85672",295 82 62,amvrosii85@example.com
Онищенко,Кирило,Іванович,Чоловіча,1976-01-15,Астрофізик,хутір Добромиль,"набережна Донорська, буд. 03, Малин, 48957",+380 (30) 937-57-26,andreikoboryslav@example.org
Опанасенко,Ірена,Степанівна,Жіноча,1969-03-03,Акушер,хутір Сіверськодонецьк,"парк Бісквітний, буд. 2, Залізне, 01077",+380 23 422-00-72,priska56@example.com
Фесенко,Миколай,Дмитрович,Чоловіча,1992-01-11,Бізнесмен,селище Мена,"набережна Адміральський, буд. 16 кв. 52, Часів Яр, 99807",214 70 06,iatseniukbohuslava@example.com
Євдокименко,Демид,Андрійович,Чоловіча,1986-10-11,Льотчик,селище Дубровиця,"площа Басейний 1-й, буд. 755 кв. 64, Заліщики, 95972",079 316 79 57,xskoryk@example.net
Єрьоменко,Владислав,Михайлович,Чоловіча,1980-01-08,Професор,місто Севастополь,"шосе Хлібна гавань, буд. 0 кв. 62, Буринь, 85872",466 49 41,dannamasliak@example.net
Затовканюк,Венедикт,Олександрович,Чоловіча,2007-11-12,Геолог,село Самар,"проспект Задніпровського, буд. 20 кв. 369, Мена, 12856",+380 59 226 08 05,nzabara@example.net
Шахрай,Остап,Михайлович,Чоловіча,1992-06-28,Адвокат,селище Хутір-Михайлівський,"вулиця Преображенська, буд. 08, Біла Церква, 35038",034 701 94 34,aleksiichukorkhyp@example.net
Приймак,Стефан,Григорович,Чоловіча,1956-05-25,Астрофізик,хутір Гребінка,"узвіз Текстильників, буд. 4, Новояворівськ, 37127",+380 08 318 71 18,chuprynamykyta@example.com
Хомик,Петро,Петрович,Чоловіча,1986-12-12,Лікар,селище Хрестівка,"шосе Мала Садова, буд. 3 кв. 1, Зміїв, 64695",+380 13 600-08-81,datsiukhanna@example.net
Устенко,Альбіна,Олександрівна,Жіноча,2004-09-05,Сантехнік,хутір Тячів,"набережна Пересипська 10-та, буд. 845 кв. 2, Жданівка, 80121",052 462-19-88,vadymzhuk@example.org
Стельмах,Єфрем,Григорович,Чоловіча,1993-09-20,Дизайнер,місто Остер,"вулиця Вокзальна, буд. 316, Теплодар, 56416",+380 60 917 21 30,sofiiatokar@example.net
Власенко,Демʼян,Богданович,Чоловіча,1966-01-29,Бібліограф,селище Сколе,"шосе Грецька, буд. 9, Сміла, 05307",683-96-43,iurchenkoleonid@example.org
Юрченко,Дан,Павлович,Чоловіча,1977-11-17,Різноробочий,місто Добропілля,"узвіз Троїцька, буд. 5 кв. 06, Умань, 54589",004 935 91 34,omelianabramenko@example.org
Ісаєнко,Ярина,Сергіївна,Жіноча,2005-01-03,Прокурор,село Березне,"шосе Творча, буд. 70 кв. 82, Харцизьк, 36117",+380 47 160-65-55,stuszorian@example.com
Талан,Владислав,Миколайович,Чоловіча,1961-07-28,Електрослюсар,село Здолбунів,"площа Старобазарний, буд. 90 кв. 15, Кагарлик, 95633",023 251-40-45,pylyp32@example.org
Назаренко,Варфоломій,Анатолійович,Чоловіча,1948-04-03,Кухар,місто Бахмут,"вулиця Трудовий, буд. 32, Боково-Хрустальне, 48861",+380 78 084-02-24,niermolenko@example.com
Міщенко,Остап,Григорович,Чоловіча,1974-12-09,Мистецтвознавець,село Боярка,"шосе Любомира Гузара, буд. 81 кв. 276, Глухів, 14040",176 17 12,leontiihuzenko@example.net
Палій,Данило,Васильович,Чоловіча,1972-02-29,Художник,хутір Біла Церква,"парк Дур'янівський, буд. 863 кв. 068, Сколе, 96062",+380 (39) 775-57-18,mykyta22@example.com
Вдовиченко,Варвара,Василівна,Жіноча,1960-11-06,Клоун,хутір Лубни,"набережна Зелена балка, буд. 239, Ходорів, 91624",+380 10 692 75 79,prymachenkoprokhir@example.net
Колесниченко,Надія,Петрівна,Жіноча,1952-07-29,Географ,місто Берестечко,"провулок Шполянська, буд. 0, Сімферополь, 74647",+380 17 065-66-53,nmazepa@example.com
Твердохліб,Василина,Павлівна,Жіноча,1980-08-16,Дипломат,місто Українка,"шосе Евлії Челебі, буд. 9, Сімферополь, 22888",+380 67 414 58 58,aperebyinis@example.net
Стець,Марія,Григорівна,Жіноча,1956-07-03,Кіноактор,селище Макіївка,"узвіз Василя Симоненка, буд. 557 кв. 54, Рогатин, 21878",+380 77 361-87-89,vrudyk@example.com
Яремків,Еріка,Богданівна,Жіноча,1998-04-05,Пекар,селище Белз,"парк Братів Малакових, буд. 4 кв. 36, Івано-Франківськ, 93260",057 132 94 84,levkoivasiuk@example.org
Аверченко,Феофан,Михайлович,Чоловіча,1951-01-27,Програміст,село Балаклія,"сквер Андросовський, буд. 018, Почаїв, 61720",337 04 65,volodymyraisaienko@example.org
Кабалюк,Олекса,Володимирович,Чоловіча,2011-12-14,Пекар,місто Білицьке,"проспект Виїзна, буд. 9, Белз, 19494",168 92 19,rbaidak@example.net
Царенко,Лесь,Павлович,Чоловіча,1948-06-09,Вчитель,селище Авдіївка,"площа Берегова, буд. 6 кв. 9, Балта, 62465",097 19 26,hennadiiiermolenko@example.org
Кабалюк,Стефан,Богданович,Чоловіча,1958-09-15,Реставратор,селище Любомль,"сквер Пейзажна, буд. 13 кв. 7, Лебедин, 25871",068 972 55 38,vpylypenko@example.net
Дергач,Андрій,Вікторович,Чоловіча,1986-06-16,Електромонтер,село Звенигородка,"парк Грецька, буд. 10 кв. 12, Тернопіль, 92442",606 72 94,mykolai19@example.net
Кибкало,Єва,Григорівна,Жіноча,1983-04-17,Мірошник,село Вашківці,"сквер Олексіївська, буд. 8 кв. 726, Южне, 44957",+380 15 148-24-01,boryslav04@example.net
Онищенко,Семен,Тарасович,Чоловіча,2002-07-12,Лікар,місто Тетіїв,"площа Рабіна Іцхака, буд. 631, Рені, 18408",+380 16 529-49-78,edytazhadan@example.com
Товстуха,Юстим,Сергійович,Чоловіча,1963-01-22,Мовознавець,селище Звенигородка,"площа Фонтанська дорога, буд. 9, Винники, 80251",683-06-05,iurchyshynkhrystyna@example.org
Медведенко,Тарас,Михайлович,Чоловіча,1948-01-25,Бізнесмен,селище Олевськ,"сквер Джерельна, буд. 73, Ніжин, 95718",+380 20 986-52-57,priskaiarema@example.com
Сич,Гаврило,Анатолійович,Чоловіча,1976-10-04,Археолог,село Кам'янка (Черкаська область),"провулок Естонська, буд. 19 кв. 1, Соснівка, 11716",088 36 63,vermenychmarko@example.org
Усик,Ігнат,Богданович,Чоловіча,1977-12-28,Прокурор,село Перечин,"шосе Лінія 24-та, буд. 259 кв. 985, Гола Пристань, 88362",474-08-71,geruspanas@example.com
Усик,Богуслав,Юрійович,Чоловіча,1971-02-27,Композитор,село Великі Мости,"шосе Бучми, буд. 883, Галич, 11911",+380 (67) 028-50-30,larysa91@example.org
Вергун,Семен,Іванович,Чоловіча,1974-01-16,Паралегал,місто Люботин,"узвіз Лінія 52-га, буд. 33, Новий Калинів, 98715",811-57-89,dhuzenko@example.net
Гавриленко,Вадим,Петрович,Чоловіча,1975-02-28,М'ясник,село Буча,"площа Баринштейна, буд. 6, Ірміно, 14369",+380 41 168 88 49,bzubko@example.org
Ващенко-Захарченко,Віталій,Володимирович,Чоловіча,1948-05-15,Соціолог,хутір Гнівань,"вулиця Десята, буд. 8, Богуслав, 11291",+380 49 102 19 23,havrylo06@example.org
Євтушенко,Варвара,Дмитрівна,Жіноча,1947-11-10,Нотаріус,село Нетішин,"площа Морська, буд. 9, Хрестівка, 93826",016 736 18 19,ihor14@example.com
Христенко,Єлисавета,Григорівна,Жіноча,1999-01-02,Шериф,село Вашківці,"шосе Чернігівський, буд. 8, Теплодар, 94931",+380 80 271-14-42,bairakoleksandr@example.net
Баран,Олег,Андрійович,Чоловіча,1958-09-27,Соціолог,хутір Генічеськ,"шосе Зоопаркова, буд. 362, Світлодарськ, 90691",025 406-03-80,kpavlychenko@example.org
Притула,Гордій,Павлович,Чоловіча,1995-12-20,Стоматолог,місто Тлумач,"провулок 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 373 кв. 5, Сватове, 75287",069 786-79-13,piatachenkodan@example.com
Зарудна,Христина,Павлівна,Жіноча,1961-08-30,Психолог,селище Сіверськ,"площа Бодаревського, буд. 150, Бобринець, 48337",355-29-14,iaroslavashylo@example.net
Демиденко,Аніта,Анатоліївна,Жіноча,2004-01-21,Різноробочий,хутір Брянка,"провулок Дзвінка, буд. 66 кв. 29, Городенка, 30230",+380 (80) 857-35-25,andriihuzenko@example.net
Єременко,Марина,Миколаївна,Жіноча,1980-05-05,Кухар,село Чугуїв,"шосе Дігтярна, буд. 7, Сніжне, 12902",+380 (44) 106-67-51,ievhen87@example.org
Цибуленко,Вʼячеслав,Михайлович,Чоловіча,1954-05-27,Літературознавець,місто Городня,"узвіз Каретний, буд. 496 кв. 1, Гуляйполе, 80249",849-70-12,ihnat34@example.org
Гаврюшенко,Тимофій,Романович,Чоловіча,1959-09-09,Економіст,хутір Феодосія,"парк Миколи Гумільова, буд. 259, Рогатин, 28779",034 806 72 31,datsenkodaryna@example.com
Мазепа,Софія,Сергіївна,Жіноча,1974-02-04,Гірник,селище Бібрка,"узвіз Леоніда Осики, буд. 38 кв. 424, Попасна, 99473",612 39 43,hanna49@example.org
Яценко,Ілля,Степанович,Чоловіча,1977-08-08,Стиліст,місто Білгород-Дністровський,"парк Степна, буд. 18, Сіверськодонецьк, 52858",+380 59 054 22 94,onysym59@example.org
Данчук,Леопольд,Вікторович,Чоловіча,1967-02-02,Хореограф,селище Золоте,"провулок Штабний, буд. 8 кв. 3, Родинське, 64934",330-19-22,ihnat00@example.com
Вергун,Амвросій,Романович,Чоловіча,1978-09-05,Стропальник,хутір Красилів,"набережна Східчастий, буд. 11, Тетіїв, 58565",938 99 43,herman56@example.com
Ейбоженко,Феофан,Тарасович,Чоловіча,1979-02-23,Історик,хутір Біляївка,"площа Локомотивний 1-й, буд. 89 кв. 679, Підгородне, 31268",096 403-23-15,darynaasaula@example.org
Гречаник,Марко,Олександрович,Чоловіча,1952-09-08,Флорист,місто Кадіївка,"набережна Балтський 6-й, буд. 75, Зугрес, 58714",059 538-97-07,akymenkorostyslav@example.com
Бабʼяк,Омелян,Тарасович,Чоловіча,2004-11-26,Редактор,селище Херсон,"шосе 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 558, Гнівань, 59268",+380 54 458 87 01,odarka13@example.com
Самойленко,Оксенія,Романівна,Жіноча,2001-05-18,Стиліст,хутір Ковель,"площа Радіо, буд. 0, Залізне, 22479",001 12 25,leontii54@example.com
Бгиденко,Азар,Олексійович,Чоловіча,1960-05-18,Няня,селище Керч,"шосе Майстерний, буд. 17, Великі Мости, 05147",088 525-72-53,viktor14@example.com
Стус,Пріска,Миколаївна,Жіноча,1967-01-24,Візажист,місто Білопілля,"площа Головківська, буд. 1, Білогірськ, 50276",+380 (99) 624-25-15,oleksa68@example.org
Андрусенко,Лукʼян,Павлович,Чоловіча,1947-09-06,Підприємець,місто Ромни,"сквер Лінія 32-га, буд. 8, Бердичів, 71224",882 00 16,tymofii71@example.com
Фастенко,Мирон,Петрович,Чоловіча,1996-08-26,Кушнір,селище Берислав,"вулиця 8-ма Лінія Дачі Ковалевського, буд. 05 кв. 29, Вишгород, 61642",+380 (62) 254-24-75,lazarenkoada@example.org
Гриценко,Едита,Богданівна,Жіноча,2000-06-09,Актор,хутір Кам'янка-Бузька,"парк Чорноморський 11-й, буд. 907, Перечин, 26831",+380 45 670 23 70,friabets@example.com
Гуцуляк,Микита,Вікторович,Чоловіча,1994-09-29,Агроном,хутір Вінниця,"проспект Аеропортівський 2-й, буд. 024, Рахів, 93860",055 154 67 91,utymchenko@example.net
Перепелиця,Опанас,Дмитрович,Чоловіча,1968-07-14,Кінолог,селище Боярка,"площа Проектований 3-й, буд. 43 кв. 53, Красноперекопськ, 49627",894 67 45,ibabii@example.com
Дейнеко,Віктор,Сергійович,Чоловіча,1990-06-02,Ботанік,хутір Славута,"площа Злакова, буд. 76 кв. 33, Кремінна, 15052",+380 32 959 48 18,bkomar@example.org
Проценко,Емілія,Григорівна,Жіноча,2010-07-30,Медик,місто Олександрівськ,"шосе Джинестрівська, буд. 99, Попасна, 91742",008 110 87 40,pavlykbohuslav@example.com
Даценко,Клавдія,Петрівна,Жіноча,1995-06-20,Біолог,селище Корсунь-Шевченківський,"проспект Парашутний, буд. 09 кв. 72, Миколаївка, 55457",492 65 55,yivanenko@example.net
Носенко,Одарка,Богданівна,Жіноча,1992-05-12,Астрофізик,селище Кролевець,"площа Аграрна, буд. 8, Вижниця, 67343",+380 15 308-60-41,artemkaras@example.net
Дутка,Єлисей,Тарасович,Чоловіча,2003-03-21,Графік,селище Новий Калинів,"площа Марсельська, буд. 97 кв. 64, Волноваха, 16475",611 75 13,fedirzabara@example.org
Ільченко,Панас,Петрович,Чоловіча,1977-10-10,Електрослюсар,місто Кіцмань,"проспект Бернардацці, буд. 723 кв. 11, Іллінці, 91928",+380 06 401 98 71,hsvyrydenko@example.com
Базилевич,Юстим,Олексійович,Чоловіча,1961-01-18,Головний меркшейдер,хутір Дебальцеве,"вулиця Слов'янська, буд. 20, Приморськ, 24935",+380 25 161 00 04,ihnat41@example.net
Кибкало,Емілія,Іванівна,Жіноча,1985-12-07,Гицель,селище Рогатин,"проспект Західний 2-й, буд. 789, Запоріжжя, 90823",+380 (29) 047-35-23,liubovvasylechko@example.org
Цимбалюк,Златослава,Миколаївна,Жіноча,1989-06-02,Хімік,місто Сарни,"провулок Амундсена, 2-й, буд. 95 кв. 830, Хотин, 76174",+380 (18) 496-62-84,trokhymtiahnybok@example.com
Романчук,Григорій,Вікторович,Чоловіча,1947-07-16,Кінорежисер,місто Костянтинівка,"вулиця Кільцева, буд. 7 кв. 0, Заліщики, 93306",+380 24 917-90-81,nosenkohavrylo@example.com
Романчук,Едита,Іванівна,Жіноча,1964-12-31,Ріелтор,хутір Тетіїв,"набережна Проценка, буд. 03, Буча, 67452",+380 06 198-41-49,orest19@example.net
Девдюк,Сніжана,Романівна,Жіноча,1950-01-27,Сантехнік,селище Гадяч,"сквер Нафтовиків, буд. 6 кв. 780, Гайсин, 49582",584 44 89,xatamaniuk@example.org
Василевич,Федір,Богданович,Чоловіча,1985-11-13,Бізнесмен,хутір Таврійськ,"шосе Решата Аметова, буд. 58, Мар'їнка, 18799",655 97 47,tymchenkoalla@example.net
Піддубна,Камілла,Василівна,Жіноча,1976-06-19,Ветеринар,місто Вуглегірськ,"сквер Офіцерський 2-й, буд. 7, Кіцмань, 63465",887 35 53,iosyptychyna@example.net
Пелех,Володимира,Миколаївна,Жіноча,1956-03-22,Географ,селище Нова Одеса,"проспект Український 2-й, буд. 057, Волочиськ, 21768",017 251-71-37,hordii38@example.net
Вишняк,Болеслав,Володимирович,Чоловіча,1967-08-10,Менеджер,місто Дергачі,"проспект Дідріхсона, буд. 3 кв. 3, Мена, 51029",+380 (72) 224-06-61,fprykhodko@example.com
Деркач,Давид,Андрійович,Чоловіча,1962-03-10,Драматург,село Кипуче,"проспект Кришталева, буд. 824, Почаїв, 44135",+380 16 173-99-95,oleh02@example.com
Гаєвська,Оксенія,Петрівна,Жіноча,1968-10-05,Випробувач,село Ізяслав,"сквер Дорожня, буд. 239 кв. 57, Городище, 39652",+380 96 031-77-46,rhrechko@example.org
Ґерус,Одарка,Михайлівна,Жіноча,1991-02-21,Секретар,селище Єнакієве,"проспект Спиридонівська, буд. 226, Покров, 46768",+380 08 375 30 00,viacheslavbaidak@example.net
Мірошниченко,Едуард,Іванович,Чоловіча,1953-12-11,Прокурор,селище Деражня,"шосе Долинська, буд. 325, Нетішин, 86707",+380 57 773 02 27,baidakkhoma@example.net
Цюцюра,Анжела,Олексіївна,Жіноча,1946-12-16,Палеонтолог,селище Київ,"узвіз Мигдальна, буд. 5 кв. 8, Городок, 64866",+380 88 214 87 00,stepanizhak@example.net
Редько,Марина,Михайлівна,Жіноча,2004-12-20,Електротехнік,село Ялта,"сквер 14-та ст. Великого Фонтану пляж, буд. 783, Хорол, 70241",028 354 39 79,petro03@example.com
Супруненко,Сніжана,Юріївна,Жіноча,1957-01-31,Лікар,хутір Звенигородка,"парк Бузкова, буд. 72, Харків, 89733",+380 39 757 80 34,tlysenko@example.com
Лесик,Арсен,Миколайович,Чоловіча,1993-05-24,Музикознавець,місто Сіверськ,"узвіз Трудовий, буд. 52, Миргород, 03309",+380 (97) 890-28-25,stanislavteslia@example.com
Пелех,Василь,Анатолійович,Чоловіча,2005-07-05,Кушнір,місто Путивль,"проспект Житомирська, буд. 845, Конотоп, 73775",+380 45 114-96-30,ruslanperepelytsia@example.net
Мазур,Сніжана,Олексіївна,Жіноча,1998-11-18,Дерун,хутір Алчевськ,"площа Лиманчик 2-й Лінія 8-ма, буд. 32, Бахчисарай, 72301",073 039 80 62,makar69@example.net
Євтушок,Іван,Дмитрович,Чоловіча,2005-07-14,Етнограф,місто Монастирище,"провулок Кастуся Калиновського, буд. 564 кв. 3, Кам'янка-Бузька, 42628",+380 67 724-12-13,ovasylevych@example.org
Бандурка,Софія,Михайлівна,Жіноча,1999-06-10,Парфюмер,селище Гуляйполе,"набережна Керченський 3-й, буд. 2, Жовква, 95141",055 529 32 19,anitadubas@example.net
Авраменко,Ольга,Степанівна,Жіноча,1948-03-07,Складальник,місто Переяслав,"шосе Павла Зеленого, буд. 007, Барвінкове, 36672",060 052 52 79,nkadeniuk@example.net
Олійник,Борислав,Сергійович,Чоловіча,1966-01-04,Музичний редактор,селище Яготин,"сквер Моторний 2-й, буд. 0 кв. 311, Пологи, 91399",081 288 29 69,havrylenkoklavdiia@example.org
